* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 13/11/2024 2:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 23-EP Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 23-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 22.338867 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2900.965567 0.010 5.5036
2921.987159 0.010 5.7308
2943.161083 0.010 5.9840
2964.488441 0.010 6.2545
2985.970347 0.010 6.5328
3007.607919 0.010 6.8087
3029.402285 0.010 7.0721
3051.354583 0.010 7.3128
3073.465956 0.010 7.5218
3095.737558 0.010 7.6904
3118.170548 0.010 7.8119
3140.766097 0.010 7.8806
3163.525383 0.010 7.8931
3186.449592 0.010 7.8475
3209.539919 0.010 7.7442
3232.797569 0.010 7.5854
3256.223753 0.010 7.3751
3279.819692 0.010 7.1193
3303.586618 0.010 6.8252
3327.525768 0.010 6.5015
3351.638391 0.010 6.1578
3375.925745 0.010 5.8040
3400.389094 0.010 5.4507
3425.029716 0.010 5.1080
3449.848893 0.010 4.7852
3474.847920 0.010 4.4910
3500.028100 0.010 4.2326
3525.390747 0.010 4.0156
3550.937181 0.010 3.8439
3576.668736 0.010 3.7197
3602.586752 0.010 3.6431
3628.692581 0.010 3.6122
3654.987583 0.010 3.6235
3681.473130 0.010 3.6715
3708.150602 0.010 3.7494
3735.021389 0.010 3.8491
3762.086894 0.010 3.9614
3789.348527 0.010 4.0767
3816.807708 0.010 4.1851
3844.465870 0.010 4.2767
3872.324455 0.010 4.3424
3900.384914 0.010 4.3738
3928.648711 0.010 4.3640
3957.117319 0.010 4.3075
3985.792222 0.010 4.2006
4014.674916 0.010 4.0415
4043.766905 0.010 3.8306
4073.069707 0.010 3.5701
4102.584849 0.010 3.2639
4132.313870 0.010 2.9180
4162.258320 0.010 2.5397
4192.419759 0.010 2.1375
4222.799761 0.010 1.7211
4253.399909 0.010 1.3005
4284.221798 0.010 0.8861
4315.267035 0.010 0.4882
4346.537239 0.010 0.1165
4378.034040 0.010 -0.2201
4409.759079 0.010 -0.5140
4441.714011 0.010 -0.7590
4473.900502 0.010 -0.9504
4506.320229 0.010 -1.0856
4538.974883 0.010 -1.1637
4571.866166 0.010 -1.1857
4604.995793 0.010 -1.1545
4638.365491 0.010 -1.0746
4671.976999 0.010 -0.9520
4705.832070 0.010 -0.7939
4739.932469 0.010 -0.6084
4774.279974 0.010 -0.4043
4808.876375 0.010 -0.1906
4843.723475 0.010 0.0239
4878.823092 0.010 0.2306
4914.177056 0.010 0.4218
4949.787208 0.010 0.5909
4985.655407 0.010 0.7327
5021.783521 0.010 0.8435
5058.173435 0.010 0.9216
5094.827044 0.010 0.9669
5131.746261 0.010 0.9811
5168.933010 0.010 0.9678
5206.389230 0.010 0.9319
5244.116872 0.010 0.8800
5282.117905 0.010 0.8196
5320.394308 0.010 0.7590
5358.948079 0.010 0.7070
5397.781226 0.010 0.6725
5436.895774 0.010 0.6638
5476.293761 0.010 0.6889
5515.977244 0.010 0.7547
5555.948288 0.010 0.8666
5596.208980 0.010 1.0286
5636.761417 0.010 1.2431
5677.607714 0.010 1.5103
5718.750000 0.010 1.8287
5760.190420 0.010 2.1947
5801.931134 0.010 2.6031
5843.974319 0.010 3.0466
5886.322166 0.010 3.5169
5928.976883 0.010 4.0042
5971.940693 0.010 4.4980
6015.215837 0.010 4.9869
6058.804571 0.010 5.4599
6102.709166 0.010 5.9059
6146.931913 0.010 6.3146
6191.475115 0.010 6.6767
6236.341096 0.010 6.9844
6281.532195 0.010 7.2314
6327.050766 0.010 7.4136
6372.899184 0.010 7.5288
6419.079839 0.010 7.5768
6465.595137 0.010 7.5597
6512.447505 0.010 7.4818
6559.639384 0.010 7.3491
6607.173235 0.010 7.1693
6655.051536 0.010 6.9514
6703.276783 0.010 6.7055
6751.851490 0.010 6.4424
6800.778189 0.010 6.1730
6850.059431 0.010 5.9078
6899.697786 0.010 5.6571
6949.695840 0.010 5.4300
7000.056201 0.010 5.2345
7050.781494 0.010 5.0769
7101.874363 0.010 4.9621
7153.337472 0.010 4.8929
7205.173504 0.010 4.8702
7257.385161 0.010 4.8929
7309.975166 0.010 4.9580
7362.946259 0.010 5.0605
7416.301203 0.010 5.1938
7470.042779 0.010 5.3500
7524.173788 0.010 5.5199
7578.697053 0.010 5.6941
7633.615416 0.010 5.8626
7688.931740 0.010 6.0156
7744.648909 0.010 6.1439
7800.769828 0.010 6.2391
7857.297421 0.010 6.2942
7914.234637 0.010 6.3032
7971.584444 0.010 6.2623
8029.349831 0.010 6.1689
8087.533810 0.010 6.0229
8146.139414 0.010 5.8258
8205.169698 0.010 5.5810
8264.627740 0.010 5.2941
8324.516639 0.010 4.9719
8384.839519 0.010 4.6230
8445.599522 0.010 4.2567
8506.799818 0.010 3.8831
8568.443596 0.010 3.5126
8630.534070 0.010 3.1554
8693.074478 0.010 2.8210
8756.068079 0.010 2.5181
8819.518158 0.010 2.2541
8883.428022 0.010 2.0348
8947.801003 0.010 1.8645
9012.640458 0.010 1.7458
9077.949766 0.010 1.6794
9143.732332 0.010 1.6643
9209.991586 0.010 1.6977
9276.730981 0.010 1.7750
9343.953998 0.010 1.8900
9411.664141 0.010 2.0352
9479.864939 0.010 2.2020
9548.559948 0.010 2.3811
9617.752749 0.010 2.5628
9687.446951 0.010 2.7378
9757.646185 0.010 2.8972
9828.354111 0.010 3.0330
9899.574417 0.010 3.1384
9971.310814 0.010 3.2081
10043.567042 0.010 3.2382
10116.346869 0.010 3.2267
10189.654089 0.010 3.1733
10263.492523 0.010 3.0794
10337.866020 0.010 2.9480
10412.778459 0.010 2.7839
10488.233744 0.010 2.5934
10564.235809 0.010 2.3837
10640.788617 0.010 2.1633
10717.896158 0.010 1.9411
10795.562451 0.010 1.7262
10873.791547 0.010 1.5273
10952.587523 0.010 1.3527
11031.954487 0.010 1.2095
11111.896577 0.010 1.1039
11192.417960 0.010 1.0402
11273.522834 0.010 1.0214
11355.215428 0.010 1.0488
